Type,Num,Genus,Species,Family,ComName,Location,Collector,Contributor,Date,Notes
L,362,Eucalyptus,Paniculata,Unknown,"Iron bark","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,363,Eucalyptus,Microcorys,Unknown,"Tallowwood","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,364,Castanospermum,Austral,Unknown,"Blackbean","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,365,Eucalyptus,Diversicolor,Unknown,"Karri","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,366,Eucalyptus,Marginata,Unknown,"Jarrah","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,367,Eucalyptus,Obliqua,Unknown,"Tasmanian oak","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,368,Cardwellia,Sublimis,Unknown,"Silky oak","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,369,Endiandra,Palmerstonii,Unknown,"Queensland Walnut","Myrtle, Australia","J.R. Cosgrove","",01-Jan-1932,""
L,370,Dacrydium,Cupressinum,Unknown,"Rimu","New Zealand","J.R. Cosgrove","",01-Jan-1932,""
L,371,Agathis,Australis,Unknown,"Kauri pine","New Zealand","J.R. Cosgrove","",01-Jan-1932,""
L,372,Nothfaus,Menziesii,Unknown,"N.Z. Beech","New Zealand","J.R. Cosgrove","",01-Jan-1932,""
L,373,Beilschmiedia,Tawa,Unknown,"Tawa","New Zealand","J.R. Cosgrove","",01-Jan-1932,""
L,374,Podocarpus,Spicatus,Unknown,"Matai","New Zealand","J.R. Cosgrove","",01-Jan-1932,""
L,375,Podocarpus,Dacrydioides,Unknown,"N.Z. White pine","","J.R. Cosgrove","",01-Jan-1932,""
L,376,Swietenia,Macrophylla,Unknown,"Honduras Mahogany","India, India","J.R. Cosgrove","",01-Jan-1932,"Grown"
L,377,Terminalia,Bialata,Unknown,"White Chuglam","India","J.R. Cosgrove","",01-Jan-1932,""
L,378,Terminalia,Bialata,Unknown,"Indian silver greywood","India","J.R. Cosgrove","",01-Jan-1932,""
L,379,Tectona,Grandis,Unknown,"Teak","India","J.R. Cosgrove","",01-Jan-1932,""
L,380,Dipterocarpus,Gurjun,Unknown,"Unknown","India","J.R. Cosgrove","",01-Jan-1932,""
L,381,Terminlia,Tomentosa,Unknown,"Indian Laurel Wood","India","J.R. Cosgrove","",01-Jan-1932,""
L,382,Entandrophragma,Septentrionale,Unknown,"Sapele Mahogany","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,383,Mitragyna,Stipulosa,Unknown,"Abura","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,384,Chlorophora,Excels,Unknown,"Iroko","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,385,Khaya,Unknown,Unknown,"Lagos Mahogany","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,386,Sarcocephalus,Esculentus,Unknown,"Opepe","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,387,Gossweilerodendron,Balsamiferum,Unknown,"Agba","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,388,Triplochiton,Obeche,Unknown,"Unknown","West Africa","J.R. Cosgrove","",01-Jan-1932,""
L,389,Maesopsis,Emenil,Unknown,"Musisi","Uganda, East Africa","J.R. Cosgrove","",01-Jan-1932,""
L,390,Khaya,Anthotheca,Unknown,"Munyama","Uganda, East Africa","J.R. Cosgrove","",01-Jan-1932,""
L,391,Olea,Hochstetteri,Unknown,"Musharage","Uganda, East Africa","J.R. Cosgrove","",01-Jan-1932,""
L,392,Dialium,Unknown,Unknown,"Pepete","Uganda, East Africa","J.R. Cosgrove","",01-Jan-1932,""
L,393,Swietenia,Macrophylla,Unknown,"Honduras Mahogany","British Honduras","J.R. Cosgrove","",01-Jan-1932,""
L,394,Calophyllum,Antillanum,Unknown,"Unknown","Santa Maria, British Honduras","J.R. Cosgrove","",01-Jan-1932,""
L,395,Carapa,Guianensis,Unknown,"Crabwood","British Guiana","J.R. Cosgrove","",01-Jan-1932,""
L,396,Peltogyne,Unknown,Unknown,"Purple heart","British Guiana","J.R. Cosgrove","",01-Jan-1932,""
L,397,Eperua,Falcate,Unknown,"Unknown","British Guiana","J.R. Cosgrove","",01-Jan-1932,""
L,398,Pinus,Sylvestris,Unknown,"Unknown","Sweden","J.R. Cosgrove","",01-Jan-1932,"Swedish deal"
L,399,Pinus,Sylvestris,Unknown,"Unknown","Russia","J.R. Cosgrove","",01-Jan-1932,"Archangel deal"
L,400,Fagus,Sylvatica,Unknown,"Continental beech","Europe","J.R. Cosgrove","",01-Jan-1932,""
L,401,Pinus,Monticola,Unknown,"Unknown","","Commercial","",01-Jan-1932,""
L,402,Prunus,Serotina,Unknown,"Unknown","","Commercial","",01-Jan-1933,""
L,403,Liriodendron,Tulipifera,Unknown,"Unknown","","Commercial","",01-Jan-1933,""
L,404,Liriodendron,Tulipifera,Unknown,"Unknown","West Virginia","Commercial","",01-Jan-1934,""
L,405,Liriodendron,Tulipifera,Unknown,"Unknown","Southern Origin","Commercial","",01-Jan-1934,""
L,406,Ulmus,Racemose,Unknown,"Unknown","","Commercial","",01-Jan-1934,""
L,407,Acer,Soft,Unknown,"Unknown","","Commercial","",01-Jan-1934,""
L,408,Pinus,Ponderosa,Unknown,"Unknown","","Commercial","",01-Jan-1934,""
L,409,Tsuga,Canadensis,Unknown,"Unknown","","Commercial","",01-Jan-1935,""
L,410,Sequoia,Sempervirens,Unknown,"Unknown","","Commercial","",01-Jan-1936,""
L,411,Pseudotsuga,Taxifolia,Unknown,"Unknown","","Commercial","",01-Jan-1937,""
L,412,Pinus,Resinosa,Unknown,"Unknown","","Commercial","",01-Jan-1938,""
L,413,Sassafras,Variifolium,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1934,""
L,414,Juniperus,Virginiana,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1934,""
L,415,Carya,Cordiformis,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1934,""
L,416,Carya,Ovata,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1934,""
L,417,Platanus,Occidentalis,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1932,""
L,418,Juglans,Nigra,Unknown,"Unknown","Rondeau Park, Ont.","R.S. Caran","",01-Jan-1932,""
L,419,Abies,Unknown,Unknown,"Western","","Commercial","",01-Jan-1934,""
L,420,Betula,Unknown,Unknown,"Unknown","","Commercial","",01-Jan-1934,""
L,421,Nyssa,Unknown,Unknown,"Tupelo","","Commercial","",01-Jan-1935,""
L,422,Pinus,Strobus,Unknown,"Unknown","","","J.B. Smith & Co.",01-Jan-1934,""
L,423,Pinus,Strobus,Unknown,"Unknown","","","J.B. Smith & Co.",01-Jan-1935,""
L,424,Taxodium,Unknown,Unknown,"Unknown","","Commercial","",01-Jan-1934,""
L,425,Pinus,Echinata,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,426,Castanea,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,427,Castanea,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,428,Taxodium,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,429,Taxodium,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,430,Fagus,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,431,Liriodendron,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,432,Liriodendron,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,433,Ulmus,Fulva,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,434,Ulmus,Americana,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,435,Liquidambar,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,436,Liquidambar,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,437,Liquidambar,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,438,Juglans,Cinerea,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,439,Betula,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,440,Betula,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,441,Liquidambar,Unknown,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,442,Chamaecyparis,Lawsoniana,Unknown,"Unknown","","","R. Bury & Co.",01-Jan-1935,""
L,443,Picea,Unknown,Unknown,"Eastern","","","R. Bury & Co.",01-Jan-1935,""
L,444,Populus,Trichocarpa,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,445,Alnus,Oregona,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,446,Tsuga,Heterophylla,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,447,Picea,Sitchensis,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,448,Thuja,Plicata,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,449,Abies,Unknown,Unknown,"Western","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,450,Abies,Balsamea,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,451,Pinus,Contorta,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,""
L,452,Abies,Amabilis,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,"Cut from authentic tree"
L,453,Abies,Grandis,Unknown,"Unknown","","","B.C. For. Prods. Lab.",01-Jan-1935,"Cut from authentic tree"
